Full Match,Start Time,Account_id,Player,Fantasy Points,Kills,Deaths,Assists,Hero Damage,Hero Healing,Last Hits,Denies,GPM,XPM,Tow,Tower Damage,Ros,TF,Obs Placed,Camps Stacked,Ru,FB,Stuns,Hero,Game Length,Total Kills,FPPM,Lane,Hero Pic,LH@10,Level,Sent Placed,Obs Killed,Sent Killed,Lane Eff,Lane Role,Role
5036090994,2019-09-22,82449931,raptured,4.4,1,10,11,14048,540,113,4,289,382,0,131,0,0.57,0,0,6,0,0,Legion Commander,2300,61,0.1148,3,/apps/dota2/images/heroes/legion_commander_full.png?,19,18,0,0,0,0.37663382264226825,3,3
5036090994,2019-09-22,81581521,Tal,7.9,7,7,8,19480,0,141,4,480,537,0,62,0,0.71,0,0,5,0,1.7741877,Bounty Hunter,2300,61,0.2061,1,/apps/dota2/images/heroes/bounty_hunter_full.png?,31,21,0,1,1,0.6549366579529459,1,1
5036090994,2019-09-22,109341234,BartyG,15.6,11,4,4,34145,175,231,9,462,486,1,1063,0,0.71,1,0,6,0,73.820206,Windranger,2300,61,0.407,2,/apps/dota2/images/heroes/windrunner_full.png?,47,20,0,1,0,0.6237683490850593,2,2
5036090994,2019-09-22,8381,Wakeuphate,10.9,2,9,13,9000,0,29,1,211,278,1,178,0,0.71,2,1,2,0,86.80372,Spirit Breaker,2300,61,0.2843,1,/apps/dota2/images/heroes/spirit_breaker_full.png?,0,15,0,0,1,0.28916147194852204,1,4
5036090994,2019-09-22,92111311,KryAzel,8.9,0,10,8,5011,6077,30,1,194,270,0,76,0,0.38,12,2,1,0,0,Dazzle,2300,61,0.2322,1,/apps/dota2/images/heroes/dazzle_full.png?,7,14,11,2,2,0.33862859440981297,1,5
5036090994,2019-09-22,129244635,Alien Assassin,15.2,8,2,15,24931,730,278,9,547,715,1,1957,0,0.57,2,1,8,0,45.529415,Kunkka,2300,61,0.3965,2,/apps/dota2/images/heroes/kunkka_full.png?,54,24,1,0,0,0.6905288558214357,2,2
5036090994,2019-09-22,98093334,bitch im a cow,10.8,2,5,28,14475,240,49,2,292,450,1,1210,0,0.75,0,0,9,0,48.565563,Mirana,2300,61,0.2817,1,/apps/dota2/images/heroes/mirana_full.png?,4,19,1,0,0,0.28634626985722905,3,4
5036090994,2019-09-22,146542636,Reddydas,16.0,5,5,29,11719,3522,21,2,295,474,0,903,0,0.85,15,1,7,0,0,Undying,2300,61,0.4174,3,/apps/dota2/images/heroes/undying_full.png?,3,20,22,2,1,0.31610697767946916,1,5
5036090994,2019-09-22,108314410,cock and ball torture,15.3,9,7,19,15070,0,120,5,389,457,0,2601,0,0.7,0,1,3,1,64.89154,Slardar,2300,61,0.3991,1,/apps/dota2/images/heroes/slardar_full.png?,43,20,0,0,0,0.7013874924592801,3,3
5036090994,2019-09-22,108266303,Hollow,18.2,16,2,17,57231,0,340,44,712,684,4,11437,1,0.82,0,0,1,0,15.173227,Monkey King,2300,61,0.4748,3,/apps/dota2/images/heroes/monkey_king_full.png?,56,24,0,0,0,0.7693545143776392,1,1
